,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
0,Gabriel Dos Santos,br BRA,DF,24-344,14,14,1260.0,14.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0.14,0.14,2.3,2.3,0.2,2.4,0.16,0.01,0.17,0.16,0.17,Matches,Arsenal
1,Aaron Ramsdale,eng ENG,GK,24-198,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
2,William Saliba,fr FRA,DF,21-249,14,14,1245.0,13.8,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.14,0.07,0.22,0.14,0.22,0.3,0.3,0.9,1.2,0.02,0.06,0.09,0.02,0.09,Matches,Arsenal
3,Gabriel Jesus,br BRA,FW,25-239,14,14,1219.0,13.5,5.0,5.0,5.0,0.0,0.0,4.0,0.0,0.37,0.37,0.74,0.37,0.74,7.7,7.7,2.8,10.6,0.57,0.21,0.78,0.57,0.78,Matches,Arsenal
4,Martinelli,br BRA,FW,21-163,14,14,1181.0,13.1,5.0,2.0,5.0,0.0,0.0,1.0,0.0,0.38,0.15,0.53,0.38,0.53,3.0,3.0,3.3,6.3,0.23,0.25,0.48,0.23,0.48,Matches,Arsenal
5,Bukayo Saka,eng ENG,FW,21-084,14,14,1171.0,13.0,4.0,6.0,3.0,1.0,1.0,3.0,0.0,0.31,0.46,0.77,0.23,0.69,4.5,3.8,2.9,6.8,0.34,0.23,0.57,0.29,0.52,Matches,Arsenal
6,Granit Xhaka,ch SUI,MF,30-062,14,14,1166.0,13.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.23,0.23,0.46,0.23,0.46,1.5,1.5,1.8,3.3,0.12,0.14,0.25,0.12,0.25,Matches,Arsenal
7,Ben White,eng ENG,DF,25-051,14,14,1150.0,12.8,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.16,0.16,0.0,0.16,0.3,0.3,1.1,1.4,0.02,0.08,0.11,0.02,0.11,Matches,Arsenal
8,Martin Ødegaard,no NOR,MF,23-346,13,13,1074.0,11.9,6.0,2.0,6.0,0.0,0.0,2.0,0.0,0.5,0.17,0.67,0.5,0.67,4.1,4.1,2.6,6.7,0.35,0.22,0.56,0.35,0.56,Matches,Arsenal
9,Thomas Partey,gh GHA,MF,29-168,11,11,959.0,10.7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.19,0.0,0.19,0.19,0.19,1.0,1.0,0.6,1.6,0.1,0.05,0.15,0.1,0.15,Matches,Arsenal
10,Oleksandr Zinchenko,ua UKR,DF,25-348,7,7,559.0,6.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,0.1,0.1,0.4,0.5,0.02,0.07,0.09,0.02,0.09,Matches,Arsenal
11,Takehiro Tomiyasu,jp JPN,DF,24-023,11,4,410.0,4.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches,Arsenal
12,Kieran Tierney,sct SCO,DF,25-176,12,3,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.06,0.03,0.1,0.06,0.1,Matches,Arsenal
13,Albert Sambi Lokonga,be BEL,MF,23-037,6,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Arsenal
14,Fabio Vieira,pt POR,MF,22-182,8,1,246.0,2.7,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.37,0.37,0.73,0.37,0.73,0.3,0.3,1.1,1.5,0.12,0.42,0.54,0.12,0.54,Matches,Arsenal
15,Mohamed Elneny,eg EGY,MF,30-140,3,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
16,Eddie Nketiah,eng ENG,"FW,MF",23-182,12,0,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,0.41,0.1,0.51,0.41,0.51,Matches,Arsenal
17,Reiss Nelson,eng ENG,FW,22-353,2,0,65.0,0.7,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.77,1.38,4.15,2.77,4.15,0.6,0.6,0.1,0.7,0.87,0.11,0.99,0.87,0.99,Matches,Arsenal
18,Emile Smith Rowe,eng ENG,"MF,FW",22-123,4,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.16,0.5,0.66,0.16,0.66,Matches,Arsenal
19,Cédric Soares,pt POR,DF,31-089,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
20,Rob Holding,eng ENG,DF,27-069,4,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
21,Marquinhos,br BRA,MF,19-235,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
22,Ethan Nwaneri,eng ENG,FW,15-252,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
23,Karl Jakob Hein,ee EST,GK,20-229,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
24,Nicolas Pépé,ci CIV,"FW,MF",27-183,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
25,Matthew Smith,eng ENG,MF,22-054,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
26,Lino Sousa,eng ENG,DF,17-313,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
27,Matt Turner,us USA,GK,28-157,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Arsenal
28,Squad Total,,,24.7,14,154,1260.0,14.0,32.0,24.0,31.0,1.0,1.0,23.0,0.0,2.29,1.71,4.0,2.21,3.93,26.2,25.7,18.3,44.0,1.87,1.31,3.18,1.84,3.14,,Arsenal
29,Opponent Total,,,27.1,14,154,1260.0,14.0,10.0,7.0,9.0,1.0,2.0,27.0,1.0,0.71,0.5,1.21,0.64,1.14,11.8,10.3,8.7,19.0,0.85,0.62,1.47,0.73,1.36,,Arsenal
0,Ederson,br BRA,GK,29-103,14,14,1260.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.2,0.2,0.0,0.02,0.02,0.0,0.02,Matches,Manchester-City
1,João Cancelo,pt POR,DF,28-185,14,14,1116.0,12.4,2.0,1.0,2.0,0.0,0.0,3.0,1.0,0.16,0.08,0.24,0.16,0.24,0.7,0.7,0.8,1.5,0.06,0.06,0.12,0.06,0.12,Matches,Manchester-City
2,Kevin De Bruyne,be BEL,MF,31-153,14,13,1131.0,12.6,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.24,0.72,0.95,0.24,0.95,2.5,2.5,6.0,8.5,0.2,0.48,0.68,0.2,0.68,Matches,Manchester-City
3,Rodri,es ESP,MF,26-159,13,13,1122.0,12.5,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24,0.24,0.0,0.24,1.2,1.2,0.8,2.0,0.1,0.07,0.16,0.1,0.16,Matches,Manchester-City
4,Bernardo Silva,pt POR,"MF,FW",28-110,14,12,1068.0,11.9,2.0,5.0,2.0,0.0,0.0,1.0,0.0,0.17,0.42,0.59,0.17,0.59,1.3,1.3,1.8,3.0,0.11,0.15,0.26,0.11,0.26,Matches,Manchester-City
5,Erling Haaland,no NOR,FW,22-130,13,12,1037.0,11.5,18.0,3.0,15.0,3.0,3.0,2.0,0.0,1.56,0.26,1.82,1.3,1.56,11.1,8.7,2.8,11.5,0.96,0.24,1.2,0.75,1.0,Matches,Manchester-City
6,Phil Foden,eng ENG,"FW,DF",22-184,14,11,908.0,10.1,7.0,4.0,7.0,0.0,0.0,1.0,0.0,0.69,0.4,1.09,0.69,1.09,3.7,3.7,2.0,5.7,0.37,0.19,0.56,0.37,0.56,Matches,Manchester-City
7,İlkay Gündoğan,de GER,MF,32-035,12,10,891.0,9.9,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.4,2.1,2.1,2.1,4.2,0.21,0.21,0.42,0.21,0.42,Matches,Manchester-City
8,Rúben Dias,pt POR,DF,25-198,12,9,873.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.8,0.06,0.02,0.08,0.06,0.08,Matches,Manchester-City
9,John Stones,eng ENG,DF,28-184,9,8,731.0,8.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.25,0.4,0.4,1.3,1.7,0.05,0.16,0.21,0.05,0.21,Matches,Manchester-City
10,Manuel Akanji,ch SUI,DF,27-132,8,8,701.0,7.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,0.0,0.13,0.5,0.5,0.1,0.6,0.07,0.02,0.08,0.07,0.08,Matches,Manchester-City
11,Nathan Aké,nl NED,DF,27-283,8,7,571.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03,Matches,Manchester-City
12,Kyle Walker,eng ENG,DF,32-184,7,7,560.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.05,0.02,0.07,0.05,0.07,Matches,Manchester-City
13,Jack Grealish,eng ENG,FW,27-079,8,6,547.0,6.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,0.9,0.9,1.2,2.1,0.15,0.19,0.34,0.15,0.34,Matches,Manchester-City
14,Riyad Mahrez,dz ALG,"FW,MF",31-280,9,4,372.0,4.1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.24,0.0,0.24,0.24,0.24,1.2,1.2,0.5,1.6,0.28,0.11,0.39,0.28,0.39,Matches,Manchester-City
15,Julián Álvarez,ar ARG,"FW,MF",22-301,12,3,364.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.74,0.0,0.74,0.74,0.74,1.3,1.3,0.4,1.8,0.33,0.11,0.44,0.33,0.44,Matches,Manchester-City
16,Aymeric Laporte,es ESP,DF,28-185,4,3,286.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.06,0.04,0.1,0.06,0.1,Matches,Manchester-City
17,Sergio Gómez,es ESP,"DF,MF",22-085,5,0,111.0,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.81,0.0,0.81,0.1,0.1,0.4,0.5,0.11,0.33,0.44,0.11,0.44,Matches,Manchester-City
18,Cole Palmer,eng ENG,"FW,MF",20-206,7,0,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.06,0.07,0.13,0.06,0.13,Matches,Manchester-City
19,Rico Lewis,eng ENG,"DF,MF",18-007,3,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City
20,Kalvin Phillips,eng ENG,MF,26-361,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-City
21,Scott Carson,eng ENG,GK,37-086,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
22,Liam Delap,eng ENG,FW,19-293,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
23,Claudio Gomes,fr FRA,MF,22-128,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
24,Ben Knight,eng ENG,MF,20-167,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
25,Luke Mbete-Tatu,eng ENG,DF,19-071,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
26,Stefan Ortega,de GER,GK,30-022,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
27,Josh Wilson-Esbrand,eng ENG,DF,19-337,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-City
28,Squad Total,,,27.6,14,154,1260.0,14.0,39.0,32.0,36.0,3.0,3.0,11.0,1.0,2.79,2.29,5.07,2.57,4.86,27.6,25.3,20.6,45.9,1.97,1.47,3.45,1.8,3.28,,Manchester-City
29,Opponent Total,,,27.2,14,154,1260.0,14.0,13.0,8.0,11.0,2.0,2.0,30.0,1.0,0.93,0.57,1.5,0.79,1.36,11.2,9.6,8.2,17.9,0.8,0.59,1.39,0.69,1.28,,Manchester-City
0,Nick Pope,eng ENG,GK,30-223,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United
1,Kieran Trippier,eng ENG,DF,32-070,15,15,1324.0,14.7,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.07,0.2,0.27,0.07,0.27,0.4,0.4,3.7,4.1,0.03,0.25,0.28,0.03,0.28,Matches,Newcastle-United
2,Miguel Almirón,py PAR,FW,28-291,15,15,1255.0,13.9,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.57,0.07,0.65,0.57,0.65,4.6,4.6,1.1,5.7,0.33,0.08,0.41,0.33,0.41,Matches,Newcastle-United
3,Fabian Schär,ch SUI,DF,30-343,14,14,1243.0,13.8,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,0.9,0.9,0.4,1.3,0.07,0.03,0.1,0.07,0.1,Matches,Newcastle-United
4,Dan Burn,eng ENG,DF,30-203,15,14,1224.0,13.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.03,0.01,0.04,0.03,0.04,Matches,Newcastle-United
5,Joe Willock,eng ENG,MF,23-100,15,13,1114.0,12.4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.16,0.16,0.32,0.16,0.32,2.9,2.9,3.1,6.0,0.23,0.25,0.49,0.23,0.49,Matches,Newcastle-United
6,Joelinton,br BRA,"MF,FW",26-106,13,12,1060.0,11.8,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.08,0.08,0.17,0.08,0.17,2.3,2.3,0.9,3.2,0.19,0.08,0.27,0.19,0.27,Matches,Newcastle-United
7,Sven Botman,nl NED,DF,22-320,13,12,1057.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,0.03,0.07,0.1,0.03,0.1,Matches,Newcastle-United
8,Bruno Guimarães,br BRA,MF,25-012,12,12,992.0,11.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.27,0.18,0.45,0.27,0.45,0.8,0.8,1.3,2.0,0.07,0.12,0.18,0.07,0.18,Matches,Newcastle-United
9,Sean Longstaff,eng ENG,MF,25-029,15,11,1056.0,11.7,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.09,0.17,0.26,0.09,0.26,1.2,1.2,1.8,3.0,0.1,0.16,0.26,0.1,0.26,Matches,Newcastle-United
10,Callum Wilson,eng ENG,FW,30-274,11,10,787.0,8.7,6.0,2.0,5.0,1.0,1.0,1.0,0.0,0.69,0.23,0.91,0.57,0.8,6.1,5.4,0.6,6.0,0.7,0.07,0.78,0.61,0.69,Matches,Newcastle-United
11,Jacob Murphy,eng ENG,FW,27-277,15,5,489.0,5.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18,0.18,0.37,0.18,0.37,0.8,0.8,0.6,1.4,0.15,0.11,0.26,0.15,0.26,Matches,Newcastle-United
12,Matt Targett,eng ENG,DF,27-071,10,4,426.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.07,0.07,0.0,0.07,Matches,Newcastle-United
13,Allan Saint-Maximin,fr FRA,FW,25-261,7,4,378.0,4.2,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.24,0.71,0.95,0.24,0.95,0.8,0.8,1.2,2.0,0.2,0.28,0.48,0.2,0.48,Matches,Newcastle-United
14,Ryan Fraser,sct SCO,FW,28-277,8,3,313.0,3.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.09,0.11,0.2,0.09,0.2,Matches,Newcastle-United
15,Alexander Isak,se SWE,FW,23-068,3,3,242.0,2.7,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.74,0.0,0.74,0.37,0.37,2.2,1.4,0.3,1.7,0.82,0.1,0.93,0.53,0.63,Matches,Newcastle-United
16,Chris Wood,nz NZL,FW,30-356,14,2,272.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,0.5,0.5,0.3,0.8,0.17,0.08,0.26,0.17,0.26,Matches,Newcastle-United
17,Jamaal Lascelles,eng ENG,DF,29-017,4,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.06,0.0,0.06,0.06,0.06,Matches,Newcastle-United
18,Elliot Anderson,sct SCO,"FW,MF",20-022,7,0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,0.42,0.45,0.86,0.42,0.86,Matches,Newcastle-United
19,Jonjo Shelvey,eng ENG,MF,30-274,3,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United
20,Javier Manquillo,es ESP,DF,28-207,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United
21,Jamal Lewis,nir NIR,DF,24-307,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United
22,Emil Krafth,se SWE,DF,28-118,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United
23,Matt Ritchie,sct SCO,FW,33-079,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Newcastle-United
24,Karl Darlow,eng ENG,GK,32-051,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle-United
25,Martin Dúbravka,sk SVK,GK,33-317,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle-United
26,Paul Dummett,wls WAL,DF,31-063,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle-United
27,Loris Karius,de GER,GK,29-159,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle-United
28,Squad Total,,,27.9,15,165,1350.0,15.0,28.0,17.0,26.0,2.0,2.0,24.0,0.0,1.87,1.13,3.0,1.73,2.87,24.3,22.8,17.1,39.9,1.62,1.14,2.76,1.52,2.66,,Newcastle-United
29,Opponent Total,,,27.4,15,165,1350.0,15.0,11.0,10.0,10.0,1.0,1.0,30.0,1.0,0.73,0.67,1.4,0.67,1.33,14.3,13.6,11.7,25.3,0.96,0.78,1.74,0.91,1.69,,Newcastle-United
0,Hugo Lloris,fr FRA,GK,35-337,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
1,Harry Kane,eng ENG,FW,29-123,15,15,1335.0,14.8,12.0,1.0,10.0,2.0,3.0,4.0,0.0,0.81,0.07,0.88,0.67,0.74,9.4,7.1,2.4,9.5,0.64,0.16,0.8,0.48,0.64,Matches,Tottenham-Hotspur
2,Eric Dier,eng ENG,DF,28-317,15,14,1285.0,14.3,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.14,0.0,0.14,0.14,0.14,0.7,0.7,0.7,1.4,0.05,0.05,0.1,0.05,0.1,Matches,Tottenham-Hotspur
3,Pierre Højbjerg,dk DEN,MF,27-115,14,14,1244.0,13.8,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.22,0.14,0.36,0.22,0.36,0.9,0.9,1.3,2.2,0.07,0.09,0.16,0.07,0.16,Matches,Tottenham-Hotspur
4,Rodrigo Bentancur,uy URU,MF,25-156,14,13,1182.0,13.1,4.0,2.0,4.0,0.0,0.0,5.0,0.0,0.3,0.15,0.46,0.3,0.46,1.4,1.4,0.8,2.2,0.11,0.06,0.17,0.11,0.17,Matches,Tottenham-Hotspur
5,Son Heung-min,kr KOR,"MF,FW",30-143,13,12,1030.0,11.4,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.26,0.17,0.44,0.26,0.44,3.5,3.5,2.7,6.2,0.31,0.23,0.54,0.31,0.54,Matches,Tottenham-Hotspur
6,Ben Davies,wls WAL,DF,29-218,12,11,995.0,11.1,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.18,0.09,0.27,0.18,0.27,0.5,0.5,1.3,1.8,0.05,0.11,0.16,0.05,0.16,Matches,Tottenham-Hotspur
7,Emerson,br BRA,DF,23-318,12,11,899.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,0.3,1.3,0.1,0.03,0.13,0.1,0.13,Matches,Tottenham-Hotspur
8,Ivan Perišić,hr CRO,"DF,MF",33-299,15,9,833.0,9.3,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.43,0.43,0.0,0.43,0.9,0.9,3.0,3.9,0.1,0.32,0.43,0.1,0.43,Matches,Tottenham-Hotspur
9,Ryan Sessegnon,eng ENG,DF,22-194,12,8,662.0,7.4,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.27,0.0,0.27,0.27,0.27,1.4,1.4,0.7,2.1,0.19,0.1,0.28,0.19,0.28,Matches,Tottenham-Hotspur
10,Cristian Romero,ar ARG,DF,24-215,8,7,658.0,7.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,0.09,0.03,0.12,0.09,0.12,Matches,Tottenham-Hotspur
11,Dejan Kulusevski,se SWE,"MF,FW",22-217,9,7,611.0,6.8,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.15,0.74,0.88,0.15,0.88,1.0,1.0,2.2,3.1,0.14,0.32,0.46,0.14,0.46,Matches,Tottenham-Hotspur
