,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
12,Clément Lenglet,fr FRA,DF,27-164,8,7,571.0,6.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.0,0.16,0.6,0.6,0.4,1.0,0.09,0.06,0.15,0.09,0.15,Matches,Tottenham-Hotspur
13,Yves Bissouma,ml MLI,MF,26-090,14,6,606.0,6.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches,Tottenham-Hotspur
14,Davinson Sánchez,co COL,DF,26-169,10,6,531.0,5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.05,0.01,0.07,0.05,0.07,Matches,Tottenham-Hotspur
15,Richarlison,br BRA,"MF,FW",25-202,10,5,439.0,4.9,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.41,0.41,0.0,0.41,1.6,1.6,1.3,3.0,0.34,0.28,0.61,0.34,0.61,Matches,Tottenham-Hotspur
16,Matt Doherty,ie IRL,DF,30-316,8,3,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.06,0.02,0.08,0.06,0.08,Matches,Tottenham-Hotspur
17,Oliver Skipp,eng ENG,MF,22-073,6,2,130.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.04,0.17,0.21,0.04,0.21,Matches,Tottenham-Hotspur
18,Lucas Moura,br BRA,"MF,DF",30-107,8,0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.08,0.04,0.12,0.08,0.12,Matches,Tottenham-Hotspur
19,Bryan,es ESP,MF,21-290,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
20,Djed Spence,eng ENG,"DF,MF",22-111,3,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.45,0.0,1.45,1.45,1.45,Matches,Tottenham-Hotspur
21,Fraser Forster,eng ENG,GK,34-256,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
22,Pape Matar Sarr,sn SEN,MF,20-075,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
23,Japhet Tanganga,eng ENG,DF,23-242,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
24,Harvey White,eng ENG,MF,21-070,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
25,Squad Total,,,28.2,15,165,1350.0,15.0,29.0,21.0,27.0,2.0,3.0,26.0,1.0,1.93,1.4,3.33,1.8,3.2,24.1,21.8,17.8,39.6,1.61,1.19,2.8,1.45,2.64,,Tottenham-Hotspur
26,Opponent Total,,,26.9,15,165,1350.0,15.0,21.0,16.0,20.0,1.0,1.0,33.0,1.0,1.4,1.07,2.47,1.33,2.4,16.5,15.8,11.8,27.6,1.1,0.79,1.89,1.05,1.84,,Tottenham-Hotspur
0,David de Gea,es ESP,GK,32-021,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches,Manchester-United
1,Lisandro Martínez,ar ARG,DF,24-314,14,14,1204.0,13.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches,Manchester-United
2,Bruno Fernandes,pt POR,"MF,FW",28-081,13,13,1169.0,13.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,0.15,0.08,0.23,0.15,0.23,2.0,2.0,3.2,5.2,0.15,0.25,0.4,0.15,0.4,Matches,Manchester-United
3,Diogo Dalot,pt POR,DF,23-255,13,13,1165.0,12.9,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.08,0.08,0.0,0.08,0.6,0.6,1.3,1.9,0.05,0.1,0.15,0.05,0.15,Matches,Manchester-United
4,Marcus Rashford,eng ENG,FW,25-028,14,13,1126.0,12.5,4.0,2.0,4.0,0.0,0.0,1.0,0.0,0.32,0.16,0.48,0.32,0.48,4.2,4.2,2.0,6.2,0.33,0.16,0.49,0.33,0.49,Matches,Manchester-United
5,Christian Eriksen,dk DEN,MF,30-287,13,12,1043.0,11.6,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.09,0.35,0.43,0.09,0.43,2.4,2.4,1.8,4.2,0.21,0.15,0.36,0.21,0.36,Matches,Manchester-United
6,Jadon Sancho,eng ENG,FW,22-248,10,10,714.0,7.9,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.25,0.13,0.38,0.25,0.38,1.6,1.6,0.8,2.5,0.21,0.1,0.31,0.21,0.31,Matches,Manchester-United
7,Luke Shaw,eng ENG,DF,27-139,10,9,783.0,8.7,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,1.4,1.6,0.02,0.17,0.19,0.02,0.19,Matches,Manchester-United
8,Raphaël Varane,fr FRA,DF,29-217,10,8,684.0,7.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,Matches,Manchester-United
9,Casemiro,br BRA,MF,30-278,11,7,712.0,7.9,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.13,0.13,0.25,0.13,0.25,0.5,0.5,0.8,1.3,0.06,0.1,0.16,0.06,0.16,Matches,Manchester-United
10,Scott McTominay,sct SCO,MF,25-355,12,6,640.0,7.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,0.1,0.03,0.13,0.1,0.13,Matches,Manchester-United
11,Tyrell Malacia,nl NED,DF,23-103,9,6,567.0,6.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Manchester-United
12,Antony,br BRA,"FW,MF",22-277,6,6,491.0,5.5,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.55,0.0,0.55,0.55,0.55,1.6,1.6,0.4,2.0,0.3,0.07,0.37,0.3,0.37,Matches,Manchester-United
13,Anthony Elanga,se SWE,FW,20-215,10,5,369.0,4.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,0.5,0.5,0.8,1.3,0.12,0.2,0.32,0.12,0.32,Matches,Manchester-United
14,Cristiano Ronaldo,pt POR,FW,37-296,10,4,525.0,5.8,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,1.9,1.9,0.4,2.3,0.32,0.07,0.4,0.32,0.4,Matches,Manchester-United
15,Fred,br BRA,MF,29-268,11,4,398.0,4.4,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.23,0.0,0.23,0.23,0.23,0.8,0.8,0.8,1.6,0.18,0.17,0.35,0.18,0.35,Matches,Manchester-United
16,Victor Lindelöf,se SWE,DF,28-134,5,3,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-United
17,Harry Maguire,eng ENG,DF,29-268,4,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.07,0.01,0.08,0.07,0.08,Matches,Manchester-United
18,Anthony Martial,fr FRA,"FW,MF",26-358,5,2,201.0,2.2,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.9,0.9,1.79,0.45,1.34,1.7,1.0,0.8,1.7,0.78,0.35,1.13,0.43,0.78,Matches,Manchester-United
19,Donny van de Beek,nl NED,MF,25-224,4,1,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.02,0.05,0.03,0.05,Matches,Manchester-United
20,Alejandro Garnacho,es ESP,FW,18-150,3,1,84.0,0.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.07,0.0,1.07,1.07,1.07,0.4,0.4,0.0,0.4,0.39,0.0,0.39,0.39,0.39,Matches,Manchester-United
21,Aaron Wan-Bissaka,eng ENG,DF,25-002,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-United
22,Nathan Bishop,eng ENG,GK,23-044,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United
23,Martin Dúbravka,sk SVK,GK,33-317,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United
24,James Garner,eng ENG,MF,21-260,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United
25,Tom Heaton,eng ENG,GK,36-227,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United
26,Zidane Iqbal,iq IRQ,MF,19-215,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United
27,Matej Kovar,cz CZE,GK,22-195,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United
28,Kobbie Mainoo,eng ENG,MF,17-223,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United
29,Facundo Pellistri,uy URU,FW,20-343,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United
30,Shola Shoretire,eng ENG,MF,18-299,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Manchester-United
31,Squad Total,,,27.3,14,154,1260.0,14.0,18.0,14.0,17.0,1.0,1.0,37.0,0.0,1.29,1.0,2.29,1.21,2.21,18.8,18.0,14.8,32.8,1.34,1.05,2.4,1.29,2.34,,Manchester-United
32,Opponent Total,,,27.4,14,154,1260.0,14.0,20.0,12.0,19.0,1.0,1.0,17.0,0.0,1.43,0.86,2.29,1.36,2.21,17.3,16.5,12.3,28.9,1.24,0.88,2.12,1.18,2.06,,Manchester-United
0,Alisson,br BRA,GK,30-057,14,14,1260.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.3,0.3,0.0,0.02,0.02,0.0,0.02,Matches,Liverpool
1,Virgil van Dijk,nl NED,DF,31-143,14,14,1260.0,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.07,0.0,0.07,0.07,0.07,1.0,1.0,0.0,1.0,0.07,0.0,0.07,0.07,0.07,Matches,Liverpool
2,Mohamed Salah,eg EGY,FW,30-166,14,14,1236.0,13.7,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.44,0.22,0.66,0.44,0.66,7.0,7.0,2.2,9.3,0.51,0.16,0.68,0.51,0.68,Matches,Liverpool
3,Trent Alexander-Arnold,eng ENG,DF,24-052,14,12,989.0,11.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09,1.1,1.1,2.2,3.3,0.1,0.2,0.3,0.1,0.3,Matches,Liverpool
4,Fabinho,br BRA,MF,29-036,14,11,997.0,11.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.02,0.05,0.07,0.02,0.07,Matches,Liverpool
5,Roberto Firmino,br BRA,"FW,MF",31-057,13,11,929.0,10.3,7.0,3.0,7.0,0.0,0.0,0.0,0.0,0.68,0.29,0.97,0.68,0.97,4.2,4.2,1.8,6.0,0.41,0.17,0.58,0.41,0.58,Matches,Liverpool
6,Andrew Robertson,sct SCO,DF,28-262,12,10,861.0,9.6,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42,0.4,0.4,2.4,2.8,0.04,0.25,0.29,0.04,0.29,Matches,Liverpool
7,Harvey Elliott,eng ENG,MF,19-238,14,10,859.0,9.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.21,0.1,0.21,1.0,1.0,2.2,3.2,0.11,0.23,0.34,0.11,0.34,Matches,Liverpool
8,Joe Gomez,eng ENG,DF,25-189,12,9,887.0,9.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches,Liverpool
9,Thiago Alcántara,es ESP,MF,31-231,8,8,644.0,7.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.6,0.01,0.08,0.09,0.01,0.09,Matches,Liverpool
10,Jordan Henderson,eng ENG,MF,32-164,12,7,648.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.4,0.06,0.14,0.2,0.06,0.2,Matches,Liverpool
11,Luis Díaz,co COL,FW,25-319,8,7,613.0,6.8,3.0,2.0,3.0,0.0,0.0,2.0,0.0,0.44,0.29,0.73,0.44,0.73,1.7,1.7,1.0,2.7,0.26,0.15,0.4,0.26,0.4,Matches,Liverpool
12,Darwin Núñez,uy URU,FW,23-157,10,7,604.0,6.7,5.0,2.0,5.0,0.0,0.0,0.0,1.0,0.75,0.3,1.04,0.75,1.04,4.7,4.7,2.3,7.0,0.7,0.34,1.04,0.7,1.04,Matches,Liverpool
13,James Milner,eng ENG,"DF,MF",36-328,12,4,469.0,5.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,0.3,0.3,0.7,1.0,0.07,0.13,0.2,0.07,0.2,Matches,Liverpool
14,Kostas Tsimikas,gr GRE,DF,26-200,10,4,367.0,4.1,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.74,0.74,0.0,0.74,0.2,0.2,0.7,0.9,0.05,0.16,0.22,0.05,0.22,Matches,Liverpool
15,Fabio Carvalho,pt POR,"MF,FW",20-090,11,4,337.0,3.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.53,1.1,1.1,0.1,1.2,0.3,0.03,0.32,0.3,0.32,Matches,Liverpool
16,Joël Matip,cm CMR,DF,31-112,4,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
17,Diogo Jota,pt POR,"FW,MF",25-359,4,2,196.0,2.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.46,0.46,0.0,0.46,0.8,0.8,0.8,1.6,0.35,0.38,0.73,0.35,0.73,Matches,Liverpool
18,Curtis Jones,eng ENG,MF,21-302,4,1,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.09,0.1,0.19,0.09,0.19,Matches,Liverpool
19,Ibrahima Konaté,fr FRA,DF,23-187,2,1,112.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
20,Nathaniel Phillips,eng ENG,DF,25-252,2,1,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Liverpool
21,Alex Oxlade-Chamberlain,eng ENG,FW,29-105,3,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.37,0.37,0.0,0.37,Matches,Liverpool
22,Stefan Bajcetic,es ESP,MF,18-037,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
23,Bobby Clark,eng ENG,MF,17-294,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Liverpool
24,Adrián,es ESP,GK,35-329,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
25,Luke Chambers,eng ENG,DF,18-157,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
26,Harvey Davies,eng ENG,GK,19-086,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
27,Sepp van den Berg,nl NED,"DF,MF",20-343,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
28,Ben Doak,sct SCO,FW,17-017,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
29,Naby Keïta,gn GUI,MF,27-291,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
30,Caoimhín Kelleher,ie IRL,GK,24-005,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
31,Arthur Melo,br BRA,MF,26-108,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
32,Calvin Ramsay,sct SCO,DF,19-120,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Liverpool
33,Squad Total,,,28.2,14,154,1260.0,14.0,26.0,21.0,26.0,0.0,0.0,12.0,1.0,1.86,1.5,3.36,1.86,3.36,24.2,24.2,19.1,43.3,1.73,1.36,3.09,1.73,3.09,,Liverpool
34,Opponent Total,,,26.8,14,154,1260.0,14.0,17.0,12.0,15.0,2.0,3.0,22.0,0.0,1.21,0.86,2.07,1.07,1.93,19.5,17.5,13.7,31.2,1.39,0.98,2.37,1.25,2.23,,Liverpool
0,Lewis Dunk,eng ENG,DF,31-007,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.1,0.8,0.05,0.01,0.06,0.05,0.06,Matches,Brighton-and-Hove-Albion
1,Robert Sánchez,es ESP,GK,25-010,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion
2,Alexis Mac Allister,ar ARG,MF,23-339,14,14,1256.0,14.0,5.0,0.0,2.0,3.0,3.0,4.0,0.0,0.36,0.0,0.36,0.14,0.14,3.6,1.2,0.8,2.0,0.26,0.06,0.32,0.09,0.15,Matches,Brighton-and-Hove-Albion
3,Moisés Caicedo,ec ECU,MF,21-026,14,14,1245.0,13.8,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.07,0.0,0.07,0.07,0.07,0.8,0.8,0.8,1.6,0.06,0.06,0.12,0.06,0.12,Matches,Brighton-and-Hove-Albion
4,Solly March,eng ENG,"DF,FW",28-131,14,14,1214.0,13.5,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.15,0.0,0.15,2.6,2.6,1.3,4.0,0.19,0.1,0.29,0.19,0.29,Matches,Brighton-and-Hove-Albion
5,Pascal Groß,de GER,"MF,FW",31-166,14,14,1192.0,13.2,5.0,2.0,5.0,0.0,0.0,2.0,0.0,0.38,0.15,0.53,0.38,0.53,2.7,2.7,3.4,6.1,0.2,0.25,0.46,0.2,0.46,Matches,Brighton-and-Hove-Albion
6,Leandro Trossard,be BEL,"FW,MF",27-359,14,14,1174.0,13.0,7.0,2.0,7.0,0.0,0.0,1.0,0.0,0.54,0.15,0.69,0.54,0.69,4.3,4.3,1.9,6.1,0.33,0.14,0.47,0.33,0.47,Matches,Brighton-and-Hove-Albion
7,Adam Webster,eng ENG,DF,27-328,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,1.3,0.09,0.0,0.1,0.09,0.1,Matches,Brighton-and-Hove-Albion
8,Danny Welbeck,eng ENG,FW,32-002,13,11,996.0,11.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,3.0,3.0,1.8,4.8,0.27,0.16,0.44,0.27,0.44,Matches,Brighton-and-Hove-Albion
9,Joël Veltman,nl NED,DF,30-317,13,11,947.0,10.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,0.05,0.02,0.07,0.05,0.07,Matches,Brighton-and-Hove-Albion
10,Pervis Estupiñán,ec ECU,DF,24-311,11,8,631.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.7,1.8,0.01,0.24,0.26,0.01,0.26,Matches,Brighton-and-Hove-Albion
11,Adam Lallana,eng ENG,"MF,FW",34-202,11,8,489.0,5.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.18,0.18,0.37,0.18,0.37,0.8,0.8,0.8,1.5,0.14,0.14,0.29,0.14,0.29,Matches,Brighton-and-Hove-Albion
12,Kaoru Mitoma,jp JPN,"FW,MF",25-192,9,2,314.0,3.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.29,0.29,0.57,0.29,0.57,0.2,0.2,2.2,2.4,0.04,0.63,0.68,0.04,0.68,Matches,Brighton-and-Hove-Albion
13,Enock Mwepu,zm ZAM,"FW,MF",24-331,6,2,213.0,2.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42,0.2,0.2,0.5,0.7,0.09,0.2,0.29,0.09,0.29,Matches,Brighton-and-Hove-Albion
14,Levi Colwill,eng ENG,DF,19-275,3,1,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.16,0.0,0.16,0.16,0.16,Matches,Brighton-and-Hove-Albion
15,Tariq Lamptey,gh GHA,DF,22-059,11,0,188.0,2.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.04,0.05,0.02,0.05,Matches,Brighton-and-Hove-Albion
16,Deniz Undav,de GER,"FW,MF",26-132,8,0,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.2,0.7,0.51,0.15,0.66,0.51,0.66,Matches,Brighton-and-Hove-Albion
17,Julio César Enciso,py PAR,"MF,FW",18-309,2,0,80.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.39,0.0,0.39,0.39,0.39,Matches,Brighton-and-Hove-Albion
18,Billy Gilmour,sct SCO,MF,21-170,4,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion
19,Jeremy Sarmiento,ec ECU,"MF,FW",20-165,2,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches,Brighton-and-Hove-Albion
20,Jan Paul van Hecke,nl NED,DF,22-173,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion
